OA11CD,LSOA11CD,All Ages
E00072805,E01014414,"227"
E00072807,E01014414,"173"
E00072809,E01014414,"309"
E00072810,E01014414,"269"
E00072811,E01014414,"219"
E00072812,E01014414,"221"
E00072814,E01014415,"351"
E00072817,E01014415,"305"
E00072818,E01014415,"333"
E00072827,E01014415,"352"
E00072828,E01014415,"372"
E00072829,E01014415,"349"
E00072822,E01014416,"289"
E00072823,E01014416,"230"
E00072824,E01014416,"356"
E00072825,E01014416,"320"
E00072826,E01014416,"544"
E00072813,E01014417,"328"
E00072815,E01014417,"263"
E00072816,E01014417,"325"
E00072819,E01014417,"256"
E00072820,E01014417,"306"
E00072821,E01014417,"327"
E00072834,E01014418,"368"
E00072835,E01014418,"308"
E00072836,E01014418,"282"
E00072837,E01014418,"548"
E00072830,E01014419,"342"
E00072831,E01014419,"272"
E00072832,E01014419,"333"
E00072833,E01014419,"487"
E00072840,E01014420,"308"
E00072842,E01014420,"400"
E00072845,E01014420,"298"
E00072847,E01014420,"243"
E00072848,E01014420,"302"
E00072838,E01014421,"534"
E00072839,E01014421,"321"
E00072841,E01014421,"344"
E00072851,E01014421,"263"
E00072843,E01014422,"755"
E00072844,E01014422,"351"
E00072849,E01014422,"321"
E00072850,E01014422,"306"
E00072846,E01014423,"352"
E00072852,E01014423,"384"
E00072853,E01014423,"358"
E00072854,E01014423,"439"
E00072858,E01014424,"294"
E00072859,E01014424,"318"
E00072861,E01014424,"455"
E00072862,E01014424,"259"
E00072863,E01014424,"711"
E00072857,E01014425,"609"
E00072860,E01014425,"297"
E00072865,E01014425,"376"
E00072867,E01014425,"377"
E00072868,E01014425,"321"
E00072870,E01014425,"291"
E00072855,E01014426,"252"
E00072856,E01014426,"362"
E00072864,E01014426,"229"
E00072866,E01014426,"327"
E00072869,E01014426,"274"
E00072871,E01014427,"348"
E00072887,E01014427,"264"
E00072888,E01014427,"487"
E00072889,E01014427,"303"
E00072878,E01014428,"255"
E00072879,E01014428,"502"
E00072881,E01014428,"352"
E00072882,E01014428,"310"
E00072880,E01014429,"346"
E00072883,E01014429,"288"
E00072884,E01014429,"239"
E00072885,E01014429,"357"
E00072886,E01014429,"314"
E00072872,E01014430,"308"
E00072873,E01014430,"257"
E00072874,E01014430,"189"
E00072875,E01014430,"273"
E00072876,E01014430,"240"
E00072877,E01014430,"316"
E00072891,E01014431,"311"
E00072892,E01014431,"317"
E00072894,E01014431,"264"
E00072906,E01014431,"354"
E00072895,E01014432,"253"
E00072896,E01014432,"394"
E00072897,E01014432,"385"
E00072898,E01014432,"376"
E00072890,E01014433,"377"
E00072899,E01014433,"361"
E00072900,E01014433,"363"
E00072901,E01014433,"367"
E00072902,E01014434,"249"
E00072903,E01014434,"318"
E00072904,E01014434,"284"
E00072905,E01014434,"346"
E00170250,E01014434,"277"
E00170251,E01014434,"125"
E00170256,E01014434,"393"
E00072910,E01014435,"378"
E00072911,E01014435,"425"
E00072912,E01014435,"434"
E00072913,E01014435,"483"
E00072914,E01014436,"321"
E00072915,E01014436,"403"
E00072916,E01014436,"420"
E00072917,E01014436,"275"
E00072918,E01014436,"177"
E00072908,E01014437,"358"
E00072919,E01014437,"270"
E00072920,E01014437,"300"
E00072921,E01014437,"249"
E00072924,E01014437,"231"
E00072907,E01014438,"284"
E00072909,E01014438,"320"
E00072922,E01014438,"380"
E00072923,E01014438,"315"
E00072932,E01014439,"284"
E00072933,E01014439,"224"
E00072934,E01014439,"336"
E00072936,E01014439,"307"
E00072937,E01014439,"416"
E00072938,E01014439,"255"
E00072926,E01014440,"437"
E00072927,E01014440,"568"
E00072928,E01014440,"1,051"
E00072930,E01014440,"374"
E00072940,E01014440,"360"
E00072925,E01014441,"262"
E00072931,E01014441,"382"
E00072935,E01014441,"232"
E00072941,E01014441,"234"
E00170255,E01014441,"672"
E00072945,E01014442,"295"
E00072946,E01014442,"292"
E00072949,E01014442,"305"
E00072956,E01014442,"356"
E00072959,E01014442,"250"
E00072960,E01014442,"301"
E00072948,E01014443,"573"
E00072955,E01014443,"153"
E00072957,E01014443,"291"
E00072958,E01014443,"255"
E00072961,E01014443,"249"
E00072942,E01014444,"260"
E00072943,E01014444,"648"
E00072950,E01014444,"396"
E00072953,E01014444,"158"
E00072962,E01014444,"349"
E00072944,E01014445,"490"
E00072947,E01014445,"247"
E00072951,E01014445,"449"
E00072952,E01014445,"308"
E00072954,E01014445,"309"
E00072963,E01014446,"280"
E00072964,E01014446,"272"
E00072965,E01014446,"305"
